customer id ,year,month,class name,skus viewed,skus added to cart,skus purchased,Revenue generated,year-month
21,2016,9,Accent Pillows,3,0,0,0,
21,2016,9,Area Rugs,6,1,0,0,9-2016
21,2016,9,Bar Stools,30,0,0,0,9-2016
21,2016,9,Beds,27,4,0,0,9-2016
21,2016,9,Curtains & Drapes,1,0,0,0,9-2016
21,2016,9,End Tables,1,0,0,0,9-2016
21,2016,9,Sheets And Sheet Sets,12,1,0,0,9-2016
21,2016,9,TV Stands & Entertainment Centers,3,0,0,0,9-2016
21,2016,9,Wall Art,1,1,0,0,9-2016
3302,2016,9,Accent Pillows,1,0,0,0,9-2016
3302,2016,9,Bedding Sets,1,0,0,0,9-2016
5995,2016,9,Area Rugs,0,0,0,0,9-2016
5995,2016,9,Wall Art,2,0,0,0,9-2016
7411,2016,9,Wall Art,3,0,0,0,9-2016
7871,2016,9,Curtains & Drapes,0,0,0,0,9-2016
8125,2016,9,Area Rugs,5,0,0,0,9-2016
8125,2016,9,Bar Stools,3,0,0,0,9-2016
8125,2016,9,Bedding Sets,55,2,0,0,9-2016
8125,2016,9,Beds,3,0,0,0,9-2016
8125,2016,9,Curtains & Drapes,4,0,0,0,9-2016
8125,2016,9,End Tables,1,0,0,0,9-2016
8125,2016,9,Sheets And Sheet Sets,1,0,0,0,9-2016
8125,2016,9,TV Stands & Entertainment Centers,12,0,0,0,9-2016
8125,2016,9,Wall Art,1,0,0,0,9-2016
8471,2016,9,Wall Art,5,0,0,0,9-2016
15006,2016,9,Area Rugs,0,0,0,0,9-2016
15006,2016,9,Bedding Sets,4,0,0,0,9-2016
15006,2016,9,Beds,2,0,0,0,9-2016
15006,2016,9,End Tables,3,0,0,0,9-2016
15006,2016,9,TV Stands & Entertainment Centers,3,0,0,0,9-2016
15006,2016,9,Wall Art,1,0,0,0,9-2016
18756,2016,9,Accent Pillows,28,0,0,0,9-2016
18756,2016,9,Area Rugs,0,0,0,0,9-2016
18756,2016,9,TV Stands & Entertainment Centers,0,0,0,0,9-2016
21067,2016,9,Bedding Sets,4,0,0,0,9-2016
21067,2016,9,End Tables,2,0,0,0,9-2016
22127,2016,9,Beds,1,0,0,0,9-2016
27850,2016,9,TV Stands & Entertainment Centers,15,0,0,0,9-2016
30692,2016,9,Area Rugs,9,1,0,0,9-2016
30692,2016,9,Bar Stools,16,0,0,0,9-2016
30692,2016,9,End Tables,24,5,1,125,9-2016
30692,2016,9,Sheets And Sheet Sets,1,0,0,0,9-2016
30692,2016,9,TV Stands & Entertainment Centers,2,0,0,0,9-2016
30835,2016,9,TV Stands & Entertainment Centers,5,0,0,0,9-2016
31313,2016,9,Bedding Sets,11,3,0,0,9-2016
31313,2016,9,Beds,17,0,0,0,9-2016
31313,2016,9,Sheets And Sheet Sets,0,0,0,0,9-2016
31342,2016,9,Area Rugs,0,0,0,0,9-2016
34293,2016,9,Area Rugs,1,0,0,0,9-2016
34842,2016,9,Curtains & Drapes,2,0,0,0,9-2016
38481,2016,9,TV Stands & Entertainment Centers,1,0,0,0,9-2016
41696,2016,9,Area Rugs,1,0,0,0,9-2016
41696,2016,9,Bedding Sets,0,0,0,0,9-2016
41696,2016,9,Curtains & Drapes,1,0,0,0,9-2016
41696,2016,9,Sheets And Sheet Sets,0,0,0,0,9-2016
45753,2016,9,Accent Pillows,2,2,0,0,9-2016
45753,2016,9,Area Rugs,18,0,0,0,9-2016
